"","vversion","vdsetno","self_report_turnout","validated_turnout","misreport","campaign_interest","pid_strength","white","black","other_race","female","age","agesquared","married","educ_years","educ_summary","fam_income","church_attendance","county_stability","house_stability","civic_duty","int_eff_1","int_eff_2","int_eff_3","int_eff_4","int_eff_scale","ext_eff_1","ext_eff_2","ext_eff_3","ext_eff_4","ext_eff_scale","post_int_date","post_int_days","alone_pre","cooperative_pre","suspicion_pre","suspicion_post","sincerity_pre","report_income_correctly","refusal_conversion","total_calls","refuse_initially","break_appts","refused_fam_income","trust_in_govt"
"690",1,"1988.TV",1,1,0,0,1,1,0,0,1,58,3364,1,3,0,1,1,15,15,4,NA,1,1,3,NA,2,2,2,0,-0.0432491078972816,1203,25,0,4,0,0,2,1,0,2,0,0,0,1
"691",1,"1988.TV",0,0,0,2,3,1,0,0,1,17,289,0,11,1,15,4,15,8,NA,4,4,3,3,1.34890449047089,4,2,1,1,0.360632300376892,1114,6,0,4,0,0,2,1,0,3,0,1,0,2
"692",1,"1988.TV",NA,NA,NA,1,0,1,0,0,1,36,1296,1,12,2,NA,1,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,2,0,0,4,1,0,1,NA
"693",1,"1988.TV",1,1,0,2,1,1,0,0,1,73,5329,1,12,2,9,1,15,15,NA,3,3,3,3,0.932795345783234,1,1,1,1,-0.368999660015106,1110,2,0,4,0,0,2,1,0,1,0,0,0,1
"694",1,"1988.TV",1,0,1,1,2,1,0,0,0,74,5476,1,16,3,19,3,10,10,NA,3,2,2,1,0.122258223593235,3,3,1,2,0.781024992465973,1116,8,0,4,0,0,2,1,0,2,0,0,0,2
"695",1,"1988.TV",NA,NA,NA,1,2,0,1,0,1,28,784,0,12,1,0,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,2,0,1,18,0,2,0,NA
"696",1,"1988.TV",NA,NA,NA,0,3,1,0,0,1,61,3721,1,13,3,13,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,2,1,0,3,1,0,0,NA
"697",1,"1988.TV",0,0,0,1,1,1,0,0,0,19,361,0,12,2,20,1,2,0,4,3,2,2,3,0.54803603887558,3,1,2,0,-0.0644236877560616,1114,6,0,4,0,0,2,1,0,2,0,0,0,1
"698",1,"1988.TV",0,0,0,1,2,1,0,0,0,38,1444,1,16,3,14,2,15,15,4,3,1,4,3,0.748495578765869,3,1,2,1,0.33479443192482,1118,10,0,4,0,0,2,1,0,2,0,0,0,2
"699",1,"1988.TV",NA,NA,NA,1,2,1,0,0,0,59,3481,0,14,3,11,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,2,1,1,12,1,0,0,NA
"700",1,"1988.TV",1,1,0,0,2,1,0,0,0,58,3364,1,16,5,18,4,14,9,NA,3,0,3,2,0.150847360491753,4,3,1,1,0.558921217918396,1123,15,1,3,0,0,2,1,0,3,0,0,0,1
"701",1,"1988.TV",1,NA,NA,0,1,1,0,0,0,49,2401,1,17,6,20,NA,12,10,4,3,3,1,2,0.329760521650314,3,1,2,NA,NA,1204,26,0,4,1,0,2,1,1,3,1,0,0,1
"702",1,"1988.TV",1,1,0,2,1,1,0,0,1,58,3364,1,8,0,13,2,15,15,4,4,1,1,4,0.602588415145874,0,0,2,1,-0.394837528467178,1109,1,1,4,0,0,2,1,0,2,0,0,0,1
"703",1,"1988.TV",1,1,0,1,0,1,0,0,1,36,1296,0,16,5,14,1,12,8,NA,1,0,0,0,-1.31299483776093,4,1,2,1,0.511908769607544,1114,6,0,4,0,0,2,1,0,4,0,0,0,2
"704",1,"1988.TV",NA,NA,NA,2,1,1,0,0,0,36,1296,0,14,NA,18,2,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,NA,2,1,0,7,NA,NA,0,NA
"705",1,"1988.TV",1,1,0,1,3,1,0,0,1,58,3364,1,16,5,15,3,15,15,NA,3,3,1,1,0.116871602833271,4,4,2,1,1.10677552223206,1119,11,1,4,0,0,2,1,0,1,0,0,0,2
"706",1,"1988.TV",1,1,0,1,1,1,0,0,0,64,4096,1,12,2,22,1,15,15,4,3,3,3,2,0.719906389713287,1,1,2,1,-0.0194342695176601,1120,12,0,3,1,0,2,1,0,2,0,0,0,1
"707",1,"1988.TV",NA,NA,NA,1,1,1,0,0,0,32,1024,0,16,5,NA,NA,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,2,0,0,6,1,0,1,NA
"708",1,"1988.TV",1,1,0,1,0,1,0,0,1,28,784,1,16,5,19,2,15,3,NA,1,0,0,1,-1.10010588169098,3,3,2,0,0.332154184579849,1116,8,0,4,0,0,2,1,0,1,0,0,0,2
"709",1,"1988.TV",NA,NA,NA,1,3,1,0,0,1,64,4096,1,12,2,10,4,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,2,1,0,15,1,0,0,NA
"710",1,"1988.TV",1,1,0,2,2,1,0,0,0,50,2500,0,17,6,19,2,15,1,NA,3,4,4,4,1.53044354915619,4,3,2,2,1.30770468711853,1216,38,1,4,0,0,2,1,0,4,0,0,0,2
"711",1,"1988.TV",1,1,0,2,2,1,0,0,1,89,7921,0,12,2,NA,3,15,15,NA,3,0,0,3,-0.221482530236244,4,4,2,2,1.50599372386932,1121,13,1,4,0,0,2,1,0,3,0,0,1,2
"712",1,"1988.TV",1,1,0,2,3,1,0,0,1,76,5776,0,12,2,10,4,15,15,NA,3,1,3,2,0.340533703565598,3,1,1,0,-0.413989096879959,1112,4,1,4,0,0,2,1,0,1,0,0,0,2
"713",1,"1988.TV",1,0,1,1,0,1,0,0,1,47,2209,1,12,2,6,4,15,15,4,3,2,NA,2,NA,3,3,1,1,0.381806880235672,1201,23,0,4,0,0,2,1,0,5,0,1,0,2
"714",1,"1988.TV",1,1,0,2,1,1,0,0,1,78,6084,0,7,0,NA,1,15,15,0,3,4,3,3,1.12248170375824,4,4,1,NA,NA,1120,12,1,3,1,0,1,0,0,5,1,0,1,2
"715",1,"1988.TV",1,1,0,1,2,1,0,0,0,26,676,1,12,2,11,1,15,4,0,3,2,2,2,0.335147142410278,2,2,1,1,0.00640357658267021,1129,21,0,4,0,0,2,1,0,2,0,1,0,1
"716",1,"1988.TV",0,0,0,0,0,1,0,0,0,80,6400,0,8,0,1,0,15,3,4,4,1,4,1,0.549140512943268,3,1,0,0,-0.763554513454437,1208,30,1,4,1,0,2,0,0,8,0,1,0,1
"717",1,"1988.TV",0,0,0,1,0,1,0,0,1,28,784,0,12,2,9,4,15,4,NA,0,0,0,0,-1.53941762447357,3,1,0,1,-0.364336401224136,1121,13,0,4,0,0,2,1,0,3,0,1,0,1
"718",1,"1988.TV",1,1,0,1,2,1,0,0,1,43,1849,1,15,3,15,2,5,1,4,3,2,1,0,-0.285703629255295,1,1,1,1,-0.368999660015106,1123,15,0,4,0,0,2,1,0,4,0,1,0,2
"719",1,"1988.TV",1,1,0,1,3,1,0,0,1,70,4900,1,12,2,19,4,15,15,4,3,1,1,3,0.163276746869087,4,3,2,1,0.908486604690552,1114,6,0,4,0,0,2,1,0,2,0,0,0,1
"720",1,"1988.TV",0,0,0,1,2,0,1,0,1,58,3364,0,17,6,14,4,15,11,4,4,2,2,1,0.348680973052979,4,4,2,2,1.50599372386932,1114,6,0,3,0,0,2,1,0,1,0,0,0,1
"721",1,"1988.TV",1,NA,NA,1,2,1,0,0,1,29,841,1,13,3,14,2,2,2,4,3,1,1,0,-0.475389987230301,1,1,2,1,-0.0194342695176601,1110,2,0,3,1,0,2,1,0,1,0,0,0,1
"722",1,"1988.TV",0,0,0,1,2,1,0,0,0,35,1225,1,14,4,20,NA,0,1,4,3,3,4,3,1.12786817550659,3,3,2,1,0.73137229681015,1119,11,1,4,0,0,2,1,0,6,0,1,0,2
"723",1,"1988.TV",0,0,0,1,1,0,1,0,1,29,841,1,12,2,15,1,15,2,4,4,3,3,3,1.15921807289124,1,1,0,0,-1.11778318881989,1120,12,0,3,0,NA,2,1,0,1,NA,NA,0,1
"724",1,"1988.TV",1,1,0,1,1,1,0,0,0,61,3721,1,13,3,15,2,4,4,4,3,2,0,3,0.157890170812607,4,1,2,2,0.911126852035522,1112,4,0,4,0,0,2,1,0,1,0,0,0,1
"725",1,"1988.TV",0,0,0,1,2,1,0,0,1,45,2025,1,12,2,18,1,0,1,4,3,3,3,2,0.719906389713287,4,1,2,1,0.511908769607544,1119,11,0,4,0,0,2,1,0,1,0,0,0,2
"726",1,"1988.TV",1,1,0,2,2,1,0,0,1,57,3249,1,16,5,NA,4,15,15,NA,3,3,1,3,0.542649447917938,3,3,1,1,0.381806880235672,1128,20,0,4,0,0,2,0,0,4,0,0,1,3
"727",1,"1988.TV",1,1,0,1,0,1,0,0,0,50,2500,1,12,2,19,1,15,14,4,4,4,4,3,1.54397737979889,0,0,1,0,-1.14362108707428,1115,7,0,4,0,0,2,1,0,2,0,0,0,3
"728",1,"1988.TV",0,0,0,1,3,0,0,1,1,35,1225,0,9,1,0,3,15,0,NA,4,1,1,4,0.602588415145874,4,4,1,0,0.357992023229599,1116,8,0,4,0,0,2,1,0,1,0,0,0,1
"729",1,"1988.TV",0,0,0,1,1,1,0,0,1,32,1024,1,12,2,12,2,15,10,4,2,1,1,2,-0.2760349214077,1,1,1,1,-0.368999660015106,1117,9,0,4,1,0,2,1,0,2,0,0,0,2
"730",1,"1988.TV",NA,NA,NA,1,2,0,1,0,1,51,2601,0,11,1,1,3,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,2,1,1,43,1,0,0,NA
"731",1,"1988.TV",1,1,0,2,2,1,0,0,0,64,4096,1,17,6,6,4,0,1,NA,3,3,3,3,0.932795345783234,1,1,1,1,-0.368999660015106,1117,9,1,3,1,0,2,1,0,7,1,2,0,1
"732",1,"1988.TV",1,1,0,1,3,1,0,0,0,70,4900,1,14,NA,13,0,7,2,0,2,2,3,1,0.090908370912075,4,1,1,1,0.162343338131905,1114,6,0,4,0,0,2,1,0,3,0,0,0,2
"733",1,"1988.TV",1,1,0,2,2,1,0,0,1,68,4624,0,13,NA,8,0,15,2,NA,4,2,2,3,0.774458825588226,3,2,1,1,0.183517917990685,1112,4,1,4,0,0,2,1,0,1,0,0,0,1
"734",1,"1988.TV",1,0,1,1,1,1,0,0,0,36,1296,1,12,2,18,4,11,11,NA,4,1,2,1,0.158994629979134,0,0,0,0,-1.49318647384644,1130,22,0,4,0,0,2,1,0,10,0,2,0,1
"735",1,"1988.TV",0,0,0,1,2,1,0,0,1,31,961,0,14,4,14,0,0,1,4,1,0,0,2,-0.887217044830322,1,2,1,2,0.228507339954376,1207,29,1,2,1,0,2,1,0,13,0,0,0,1
"736",1,"1988.TV",1,1,0,2,1,1,0,0,0,49,2401,1,14,3,21,1,0,1,NA,3,3,3,2,0.719906389713287,4,4,2,2,1.50599372386932,1215,37,1,4,0,0,2,1,0,6,0,1,0,1
"737",1,"1988.TV",1,1,0,1,3,1,0,0,0,54,2916,1,17,6,15,3,15,15,4,2,2,2,1,-0.104164570569992,4,4,0,1,0.407644718885422,1205,27,0,4,0,0,2,1,0,2,0,0,0,2
"738",1,"1988.TV",NA,NA,NA,1,2,0,1,0,1,62,3844,0,8,0,0,1,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,2,1,0,17,1,0,0,NA
"739",1,"1988.TV",1,1,0,2,3,1,0,0,1,45,2025,1,10,1,11,4,15,11,4,3,1,0,0,-0.670462906360626,4,3,2,1,0.908486604690552,1208,30,1,2,0,0,2,1,0,5,0,0,0,2
"740",1,"1988.TV",1,0,1,1,2,1,0,0,1,62,3844,0,13,3,11,4,15,3,0,3,2,0,3,0.157890170812607,3,3,2,1,0.73137229681015,1129,21,1,3,0,0,2,1,0,4,0,0,0,2
"741",1,"1988.TV",1,1,0,0,2,0,0,1,1,34,1156,0,12,2,9,4,15,12,4,3,3,3,3,0.932795345783234,1,1,1,1,-0.368999660015106,1117,9,0,4,0,0,2,1,0,2,0,0,0,1
"742",1,"1988.TV",0,0,0,0,0,0,0,1,1,34,1156,0,10,1,0,4,15,0,4,0,1,0,0,-1.34973120689392,1,1,1,1,-0.368999660015106,1110,2,0,4,0,0,2,1,0,1,0,0,0,2
"743",1,"1988.TV",0,0,0,1,2,1,0,0,0,23,529,0,16,5,9,1,5,0,4,1,0,2,1,-0.709960043430328,4,3,2,1,0.908486604690552,1128,20,0,4,0,0,2,1,0,5,0,0,0,2
"744",1,"1988.TV",0,0,0,1,1,1,0,0,0,25,625,1,12,2,15,1,8,0,4,1,0,0,0,-1.31299483776093,3,1,2,0,-0.0644236877560616,1116,8,0,3,0,0,2,1,0,5,0,0,0,1
"745",1,"1988.TV",1,1,0,2,2,1,0,0,0,57,3249,1,17,6,18,4,15,15,NA,4,4,4,4,1.75686633586884,4,3,2,2,1.30770468711853,1115,7,1,3,0,0,2,1,0,4,0,0,0,1
"746",1,"1988.TV",0,0,0,1,0,1,0,0,0,25,625,1,13,3,6,NA,2,2,4,3,3,3,3,0.932795345783234,2,1,1,1,-0.191885337233543,110,63,1,4,0,0,2,1,1,7,1,0,0,1
"747",1,"1988.TV",1,1,0,0,1,1,0,0,1,39,1521,1,14,3,19,4,15,4,4,2,0,0,1,-0.873683154582977,1,2,2,1,0.178854644298553,1114,6,1,4,0,0,2,1,0,4,0,0,0,2
"748",1,"1988.TV",1,1,0,1,2,1,0,0,0,41,1681,1,13,3,19,1,15,10,NA,2,3,3,2,0.493483632802963,4,3,0,0,-0.189862325787544,1110,2,1,4,0,0,2,1,0,3,0,0,0,1
"749",1,"1988.TV",0,0,0,1,2,1,0,0,0,32,1024,1,12,2,16,1,5,5,4,3,0,0,1,-0.647260367870331,1,1,2,1,-0.0194342695176601,1120,12,0,3,0,0,2,1,0,3,0,0,0,1
"750",1,"1988.TV",1,1,0,2,2,1,0,0,1,76,5776,0,12,2,NA,4,5,5,4,1,0,1,1,-0.905032992362976,0,0,2,1,-0.394837528467178,1114,6,0,3,0,0,2,0,0,1,0,0,1,2
"751",1,"1988.TV",0,0,0,0,2,0,0,1,1,36,1296,0,12,2,5,1,5,0,4,3,0,1,1,-0.452187418937683,1,0,0,0,-1.31607210636139,1114,6,1,4,0,0,2,1,0,3,0,0,0,1
"752",1,"1988.TV",1,1,0,0,2,1,0,0,1,35,1225,0,12,2,14,1,15,8,4,1,0,0,0,-1.31299483776093,2,2,1,1,0.00640357658267021,1117,9,1,4,0,0,2,1,0,2,0,0,0,1
"753",1,"1988.TV",0,0,0,0,0,1,0,0,0,24,576,0,12,2,4,NA,0,0,4,1,3,1,1,-0.33597394824028,3,1,2,1,0.33479443192482,1114,6,0,4,0,0,2,1,0,2,0,1,0,3
"754",1,"1988.TV",1,1,0,0,0,1,0,0,0,35,1225,0,17,5,15,1,7,7,NA,4,4,4,4,1.75686633586884,4,0,2,1,0.31361985206604,1115,7,1,4,0,0,2,1,0,1,0,0,0,0
"755",1,"1988.TV",0,0,0,0,2,1,0,0,1,61,3721,0,11,1,1,2,8,8,4,3,1,2,2,0.145460769534111,0,1,2,0,-0.595766723155975,1114,6,1,4,0,0,2,1,0,2,0,0,0,2
"756",1,"1988.TV",1,1,0,1,2,1,0,0,1,52,2704,1,12,2,5,4,15,15,4,3,2,0,0,-0.480776578187943,1,3,2,1,0.37714359164238,1215,37,0,4,0,0,2,1,0,7,0,0,0,1
"757",1,"1988.TV",1,1,0,1,2,1,0,0,0,53,2809,1,17,6,22,1,4,4,NA,3,4,3,3,1.12248170375824,3,3,1,1,0.381806880235672,1120,12,0,4,0,0,2,1,0,4,0,0,0,1
"758",1,"1988.TV",1,1,0,1,2,1,0,0,0,58,3364,0,17,6,18,NA,15,8,NA,3,4,3,1,0.696703851222992,1,3,2,2,0.776361703872681,1115,7,1,4,0,0,2,1,0,1,0,0,0,2
"759",1,"1988.TV",0,0,0,1,2,1,0,0,1,52,2704,1,12,2,15,4,15,15,4,0,0,0,1,-1.32652866840363,0,0,0,0,-1.49318647384644,1125,17,1,4,1,0,1,1,0,11,0,0,0,2
"760",1,"1988.TV",NA,0,NA,0,2,1,0,0,1,86,7396,0,7,0,0,0,15,15,4,0,0,0,0,-1.53941762447357,0,0,0,0,-1.49318647384644,1109,1,1,3,1,0,1,0,0,1,0,0,0,1
"761",1,"1988.TV",1,1,0,1,1,0,1,0,1,29,841,0,11,1,2,3,15,0,4,1,1,3,3,0.100577056407928,1,3,0,2,0.0772308558225632,1205,27,0,3,1,0,2,1,0,1,0,0,0,1
