obs,link,w1_type,n_w,n_x,n_z,fd1,fd2,true1,true2,max_lik
partial observability,logit,binary,2,2,1,-0.0878889900476501,-0.181193461008915,-0.0878051106430814,-0.181219336501371,-32511258685.3137
full observability,probit,binary,2,2,1,-0.0874231794916178,-0.181199738218696,-0.0904197791764191,-0.180206254104524,NA
partial observability,probit,binary,2,2,1,-0.074653970264337,-0.189634676123236,-0.0904197791764191,-0.180206254104524,-32509230200.6675
full observability,cloglog,binary,2,2,1,-0.0856299957307824,-0.180098781664697,-0.0922246639833876,-0.17872698596169,NA
partial observability,cloglog,binary,2,2,1,-0.240677911053509,0.0348153630908477,-0.0922246639833876,-0.17872698596169,-32529536081.1382
full observability,cauchit,binary,2,2,1,-0.07873948425962,-0.180896009492036,-0.0563347427653818,-0.187494522138441,NA
partial observability,cauchit,binary,2,2,1,-0.111671054357269,-0.149857390913737,-0.0563347427653818,-0.187494522138441,-32643945142.5315
full observability,logit,binary,2,1,1,-0.0882767075911741,0.061782469837693,-0.0882970729962306,0.061788800988292,NA
partial observability,logit,binary,2,1,1,-0.088286838907145,0.0618083986174938,-0.0882970729962306,0.061788800988292,-1033108860.83674
full observability,probit,binary,2,1,1,-0.0881983737698264,0.0615036641270061,-0.0890141999356971,0.0670381476079933,NA
partial observability,probit,binary,2,1,1,-0.202906473007069,0.349058639848663,-0.0890141999356971,0.0670381476079933,-1033478582.26618
full observability,cloglog,binary,2,1,1,-0.0882887665708522,0.0605175774326943,-0.0879351441658571,0.0706809400310271,NA
partial observability,cloglog,binary,2,1,1,-0.0823700499926177,3.46540821893893e-05,-0.0879351441658571,0.0706809400310271,-1033720459.03276
full observability,cauchit,binary,2,1,1,-0.0877523143234411,0.0581925137308316,-0.0830396603936144,0.0275845499569499,NA
partial observability,cauchit,binary,2,1,1,0.465707431399628,-0.267621387891749,-0.0830396603936144,0.0275845499569499,-1037620622.57803
full observability,logit,continuous,1,3,5,0.200188220898304,-0.227823145015214,0.200188483364982,-0.227823995273312,NA
partial observability,logit,continuous,1,3,5,0.200188003410596,-0.227822519416753,0.200188483364982,-0.227823995273312,-1222172720728.69
full observability,probit,continuous,1,3,5,0.198606218518288,-0.226883292092383,0.207285157958754,-0.229825495136139,NA
partial observability,probit,continuous,1,3,5,0.182718782091245,-0.209859888688859,0.207285157958754,-0.229825495136139,-1226125171696.97
full observability,cloglog,continuous,1,3,5,0.187109013411553,-0.222150619238003,0.212362857514279,-0.229217050002044,NA
partial observability,cloglog,continuous,1,3,5,0.142323436819498,-0.174636013302038,0.212362857514279,-0.229217050002044,-1233838696278.09
full observability,cauchit,continuous,1,3,5,0.175436723049192,-0.208142306363846,0.08893887243081,-0.185087846863655,NA
partial observability,cauchit,continuous,1,3,5,0.243381625955104,-0.281352404850091,0.08893887243081,-0.185087846863655,-1220414307633.88
full observability,logit,continuous,1,1,1,-0.124347877150923,0.023749688269655,-0.124357326896095,0.023757046107188,NA
partial observability,logit,continuous,1,1,1,-0.124848890920281,0.0238396308589686,-0.124357326896095,0.023757046107188,-646396377.278006
full observability,probit,continuous,1,1,1,-0.123850431364489,0.0233529452991209,-0.126769363532143,0.0289316407614624,NA
partial observability,probit,continuous,1,1,1,-0.17848335761436,0.0467971474871276,-0.126769363532143,0.0289316407614624,-646333597.975448
full observability,cloglog,continuous,1,1,1,-0.121259351649303,0.0236869122252387,-0.127941876426069,0.0204886745563403,NA
partial observability,cloglog,continuous,1,1,1,-0.0732346922035436,0.0163358126280016,-0.127941876426069,0.0204886745563403,-646516849.515705
full observability,cauchit,continuous,1,1,1,-0.110937905339769,0.0216589544578022,-0.0800830122084143,0.00196015194324412,NA
partial observability,cauchit,continuous,1,1,1,-2.42496543105819e-05,0.0142080402347852,-0.0800830122084143,0.00196015194324412,-646637453.165156
full observability,logit,continuous,1,3,1,-0.114959701167601,0.0263818638297435,-0.114960398293899,0.0263828611808576,NA
partial observability,logit,continuous,1,3,1,-0.114913017026995,0.0263945113906865,-0.114960398293899,0.0263828611808576,-12761875037.2321
full observability,probit,continuous,1,3,1,-0.114766306475208,0.0263631067045504,-0.114231629343602,0.0263621995774798,NA
partial observability,probit,continuous,1,3,1,-0.118677006079088,0.0277097766372027,-0.114231629343602,0.0263621995774798,-12762530170.8138
full observability,cloglog,continuous,1,3,1,-0.111898424513153,0.026385039024244,-0.113535650549008,0.0263833577455511,NA
partial observability,cloglog,continuous,1,3,1,-0.0929235547320717,0.031893886596568,-0.113535650549008,0.0263833577455511,-12768514269.1231
full observability,cauchit,continuous,1,3,1,-0.111216090376445,0.0255190825349264,-0.108378250958231,0.0255359014356135,NA
partial observability,cauchit,continuous,1,3,1,-0.0988961517955655,0.021615330660756,-0.108378250958231,0.0255359014356135,-12753803676.3535
full observability,logit,continuous,1,3,0,0.0451699849725797,-0.0920930113655257,0.0451574772257197,-0.0920994146046159,NA
partial observability,logit,continuous,1,3,0,0.0452402518653149,-0.0921131258896382,0.0451574772257197,-0.0920994146046159,-2586745173.33403
full observability,probit,continuous,1,3,0,0.045075172037371,-0.0918483153090617,0.0438728842487031,-0.0912195148437191,NA
partial observability,probit,continuous,1,3,0,0.0588500023887265,-0.0898902185711934,0.0438728842487031,-0.0912195148437191,-2587306629.976
full observability,cloglog,continuous,1,3,0,0.0437123496439669,-0.0920897202415793,0.0405019894134761,-0.092251645811581,NA
partial observability,cloglog,continuous,1,3,0,0.0234314496267172,-0.124187414372078,0.0405019894134761,-0.092251645811581,-2589170708.01825
full observability,cauchit,continuous,1,3,0,0.0437126196629452,-0.0846035655707124,0.0501393269065966,-0.0894362362730008,NA
partial observability,cauchit,continuous,1,3,0,-0.00647272848391856,-0.0939869668427458,0.0501393269065966,-0.0894362362730008,-2621745760.15239
full observability,logit,binary,1,1,1,-0.0472868980563827,0.211974049702335,-0.047260688277601,0.211996742394469,NA
partial observability,logit,binary,1,1,1,-0.0471121077756337,0.212175306300283,-0.047260688277601,0.211996742394469,-836164774.639152
full observability,probit,binary,1,1,1,-0.0472794088768571,0.211973860455392,-0.0472785510138397,0.211324882553586,NA
partial observability,probit,binary,1,1,1,-0.0568693236848786,0.219802121431641,-0.0472785510138397,0.211324882553586,-836106230.164945
full observability,cloglog,binary,1,1,1,-0.0472509096086087,0.211367612435839,-0.0470352515812469,0.210088047190762,NA
